N	 avgTime	 successRate
4	 0.004149	 1.0
5	 0.015597	 1.0
6	 0.402132	 1.0
7	 1.021057	 0.99
8	 3.991513	 0.34
9	 7.286911	 0.08
10	 10.769803	 0.01
11	 14.441735	 0.0
12	 18.48134	 0.0
13	 22.893785	 0.0
14	 27.505362	 0.0
15	 32.54438	 0.0
16	 37.944731	 0.0
17	 43.681714	 0.0
18	 49.945978	 0.0
19	 56.23322	 0.0
20	 62.98473	 0.0
