N	 avgTime	 successRate
4	 0.002728	 1.0
5	 0.005206	 1.0
6	 0.01789	 0.85
7	 0.023993	 1.0
8	 0.036391	 0.98
9	 0.052341	 0.96
10	 0.081291	 0.93
11	 0.117795	 0.91
12	 0.15893	 0.97
13	 0.205427	 0.98
14	 0.262476	 0.95
15	 0.334032	 0.97
16	 0.417977	 1.0
17	 0.52761	 0.99
18	 0.626617	 0.99
19	 0.790727	 0.95
20	 0.954363	 0.99
